급여대상,브랜드,이름,사료 형태,동물크기,급여연령,Mainflavor,알레르기,건강 개선,사료 해석
강아지,네이쳐스프로텍션,화이트 도그 스타터,건식,무관,P( 임신 및 수유기),연어,"연어, 콩",눈물,"눈물 개선 목적으로 만들어진 사료
 사료 급여 후 눈물 개선 효과가 있다는 사례가 존재하며
 장 건강과 영양흡수를 돕는 마이크로지오젠 이 사료속에 포함되어 있다
 오메가3 오메가6 함량이 표기되어 있지 않다. EPA + DHA 수치를 고려하여 추가적인 영양제 급여가 필요하다."
강아지,오리젠,퍼피,건식,무관,P,"닭, 칠면조, 청어, 가자미","닭, 칠면조, 어류, 과일",관절,"1.1cm의 키블 크기로 급하게 먹는 아이들이 먹기에 적합하다. 
 EPA + DHA 함유량이 0.5% 가 넘어 신체 면연력 및 피부 컨디션, 혈류개선에 도움을준다.
 렌틸콩 과 완두 같은 글루텐이 없는 탄수화물 사용, 원료가 우수하며 사료흡수율 또한 좋다. 관절 건강에 좋은 강황이 포함되어 있다.
 글루코사민과 콘드로이틴이 적정량 포함되어 있다. 이는 관절 건강, 슬개골 탈구 예방과 수술 이후 회복에 도움을 준다."
강아지,오리젠,퍼피 라지 브리드,건식,대형,P,"닭, 칠면조, 청어, 가자미","닭, 칠면조, 어류, 과일",관절,"1.1cm의 키블 크기로 급하게 먹는 아이들이 먹기에 적합하다. 
 EPA + DHA 함유량이 0.5% 가 넘어 신체 면연력 및 피부 컨디션, 혈류개선에 도움을준다.
 렌틸콩 과 완두 같은 글루텐이 없는 탄수화물 사용, 원료가 우수하며 사료흡수율 또한 좋다. 관절 건강에 좋은 강황이 포함되어 있다.
 글루코사민과 콘드로이틴이 적정량 포함되어 있다. 이는 관절 건강, 슬개골 탈구 예방, 수술 이후 회복에 도움을 줄 수도 있다.
 대형견종 전용으로 나온 사료로, 대형견의 성장 속도를 고려하여 지방 비율이 상대적으로 낮다."
강아지,비고앤세이지,울프베리 웰빙 레귤러 퍼피독,건식,무관,P,칠면조,"칠면조, 아마, 효모, 과일",소화,"위벽 보호, 위염과 위궤양 예방에 좋은 참마가 포함되어 있다.
 소화 운동에 도움을 주며 피부개선에 효능이 있는 귤껍질이 포함되어 있다.
 오메가3 오메가6 함량이 표기되어 있지 않다. EPA + DHA 수치를 고려하여 추가적인 영양제 급여가 필요하다."
강아지,벨포아,주니어,건식,무관,P,동에등애,"과일, 효모","알레르기, 소화, 체중조절","단일단백질(Novel protein)
 이눌린 (프리바이오틱스) 가 함유되어 있어 소화기 건강에 좋다.
 지방과 탄수화물 수치가 낮고 칼로리가 낮아 체중 조절에 효과적이다.
 EPA + DHA 함유량이 0.2%로 낮아 추가적인 오메가3 급여가 필요하다."
강아지,네이쳐스프로텍션,화이트 도그,건식,무관,A,"쌀, 보리, 콩, 닭, 양","닭, 양, 곡류, 과일",눈물,"눈물 개선 목적으로 만들어진 사료
 사료 급여 후 눈물 개선 효과가 있다는 사례가 존재하며
 장 건강과 영양흡수를 돕는 마이크로지오젠 이 사료속에 포함되어 있다.
 프로바이오틱스 함유량이 높은 치커리 추출물이 포함되어 있어 체내 영양소 흡수 및 배변 활동에 도움을 준다.
 오메가3 오메가6 함량이 표기되어 있지 않다. EPA + DHA 수치를 고려하여 추가적인 영양제 급여가 필요하다."
강아지,네이쳐스프로텍션,화이트 피쉬,건식,무관,A,어분(흰살생선),"어류, 콩, 아마","눈물, 소화","눈물 개선 목적으로 만들어진 사료
 사료 급여 후 눈물 개선 효과가 있다는 사례가 존재하며
 장 건강과 영양흡수를 돕는 마이크로지오젠 이 사료속에 포함되어 있다.
 프로바이오틱스 함유량이 높은 치커리 추출물이 포함되어 있어 체내 영양소 흡수 및 배변 활동에 도움을 준다.
 프락토올리고당이 포함되어 있어 설사개선에 도움을 준다.
 크릴이 포함되어 있어 양질의 오메가3를 얻을 수 있다.
 오메가3 오메가6 함량이 표기되어 있지 않다. EPA + DHA 수치를 고려하여 추가적인 영양제 급여가 필요하다.
 어분의 추가적인 성분 확인이 필요하다."
강아지,네이쳐스프로텍션,화이트 도그 주니어,건식,무관,P,흰살생선,"어류, 콩, 아마","눈물, 소화","눈물 개선 목적으로 만들어진 사료
 사료 급여 후 눈물 개선 효과가 있다는 사례가 존재하며
 장 건강과 영양흡수를 돕는 마이크로지오젠 이 사료속에 포함되어 있다.
 프로바이오틱스 함유량이 높은 치커리 추출물이 포함되어 있어 체내 영양소 흡수 및 배변 활동에 도움을 준다.
 프락토올리고당이 포함되어 있어 설사개선에 도움을 준다.
 크릴이 포함되어 있어 양질의 오메가3를 얻을 수 있다.
 오메가3 오메가6 함량이 표기되어 있지 않다. EPA + DHA 수치를 고려하여 추가적인 영양제 급여가 필요하다.
 어분의 추가적인 성분 확인이 필요하다."
강아지,비고앤세이지,릴리르트 뷰티 스몰 브리드 어덜트독,건식,소형,A,연어,"연어, 콩, 아마, 과일","눈물, 관절, 치아","녹차 폴리페놀이 함유되어 있어 치석 제거에 탁월하다. 
 당귀, 율무, 백합뿌리와 같은 원료들은 피부와 모질에 도움을 준다.
 글루코사민과 콘드로인이 적정량 포함되어 있다. 이는 관절 건강, 슬개골 탈구 예방, 수술 이후 회복에 도움을 준다."
강아지,오리젠,6fish,건식,무관,A,"정어리, 고등어, 메를루사, 가자미, 볼락, 솔피쉬","어류, 콩, 과일","관절, 피부, 소화","EPA + DHA 함유량이 1.2% 이상으로 신체 면역력 및 피부 컨디션에 도움을 준다
 글루코사민과 콘드로이틴이 적정량 포함되어 있다. 이는 관절 건강, 슬개골 탈구 예방, 수술 이후 회복에 도움을 준다.
 관절 건강에 좋은 강황이 포함되어 있다.
 엔테로코커스 유산균이 함유되어 있어 장 건강에 도움을 준다."
