급여대상,사료 종목,브랜드,이름,가격,용량,사료 형태,제조국,유기농여부,특이사항,칼로리(100g),특정종대상,동물크기,급여연령,Mainflavor,Allergy,주원료,키블크기,금기대상,특정급여시기,질환,처방적용대상효능,수분,조단백질,조지방,조회분,조섬유,칼슘,인,탄수화물,오메가3,오메가6
강아지,일반식,로얄캐닌,엑스스몰 퍼피(X-SMALL PUPPY),71400,6000,건식(반건식),프랑스,N,면역기능,406.8,전체,초소형,3~10,"닭, 칠면조, 오리","닭, 칠면조, 오리, 쌀, 곡류, 밀, 옥수수","육분(닭 칠면조 오리), 쌀, 옥수수, 동물성지방(가금류 돼지), 밀글루텐, 옥수수분말, 동물성유도단백질(닭, 칠면조, 어류), 사탕무박, 옥수수글루텐, 혼합광물질류합제, 대두유, 어유, 차전자피, 프락토올리고당, 가수분해효모(만난올리고당의원료), 낙산나트륨, 효모추출물(베타글루칸의원료), 금잔화추출물(루테인의원료), 비타민A, 비타민D3, 철, 요오드, 구리, 망간, 아연, 제올라이트, 유카추출물, 소르빈산칼륨, 항산화제",6~7,-1,무관,-1,-1,0,34.3,22.1,8.7,1.7,1.3,1.2,-1,0.8,4.4
강아지,일반식,로얄캐닌,엑스스몰 어덜트(X-SMALL ADULT),28900,1500,건식(반건식),프랑스,N,,401.2,전체,초소형,11~max,"닭, 오리, 칠면조","닭, 오리, 칠면조, 쌀, 옥수수, 밀","쌀, 육분(닭 오리 칠면조), 옥수수, 동물성지방(가금 돼지), 옥수수분말, 옥수수글루텐, 동물성유도단백질(닭 칠면조 어류), 밀글루텐, 치커리추출물, 혼합광물질류합제, 대두유, 어유, 차전자피, 효모, 프락토올리고당, 비타민A, 비타민D3, 철, 요오드, 구리, 망간, 아연, 차카테킨(폴리페놀의원료), 소르빈산칼륨, 항산화제",9~10,-1,무관,-1,-1,0,26.5,19.9,6.5,1.9,0.9,0.8,40.9,0.8,4.2
강아지,일반식,로얄캐닌,엑스스몰 어덜트8+(X-SMALL ADULT 8+),23000,1500,건식(반건식),프랑스,N,노화관리,403.8,전체,초소형,97~144,"닭, 오리, 칠면조","닭, 오리, 칠면조, 쌀, 옥수수, 효모","쌀, 옥수수분말, 육분(닭 오리 칠면조), 동물성지방(가금 돼지), 옥수수, 옥수수글루텐, 동물성, 유도단백질(가금 어류), 밀글루텐, 치커리추출물, 혼합광물질류합제, 대두유, 어유, 효모, 차전자피, 프락토올리고당, 보리지유, 금잔화추출물(루테인의원료), 비타민A, 비타민D3, 철, 요오드, 구리, 망간, 아연, 차카테킨(폴리페놀의원료), 소르빈산칼륨, 항산화제",9~10,-1,무관,-1,-1,0,26.5,19.9,6,1.9,0.9,0.7,-1,0.8,4.2
강아지,일반식,로얄캐닌,엑스스몰 에이징12+(X-SMALL AGEING12+),24000,1500,건식(반건식),프랑스,N,노화관리,394.7,전체,초소형,145~max,"닭, 오리, 칠면조","닭, 오리, 칠면조, 쌀, 옥수수, 어류, 과일, 밀","쌀, 옥수수분말, 옥수수, 육분(닭 오리 칠면조), 옥수수글루텐, 동물성지방(가금 돼지), 밀글루텐, 동물성유도단백질(가금 어류), 치커리추출물, 혼합광물질류합제, 어유, 대두유, 차전자피, 토마토(라이코펜의원료), 프락토올리고당, 가수분해효모(만난올리고당의원료), 보리지유, 금잔화추출물(루테인의원료), 비타민A, 비타민D3, 철, 요오드, 구리, 망간, 아연, 차카테킨(폴리페놀의원료), 소르빈산칼륨, 항산화제",9~10,-1,무관,-1,-1,0,26.5,17.7,5.2,2,0.8,0.6,-1,1.1,3.8
강아지,일반식,로얄캐닌,미니 스타터 마더&베이비독(MINI STARTER MOTHER & BABYDOG,14200,1000,건식(반건식),프랑스,N,"임신말기/수유기, 이유기자견",422.7,전체,소형,0~2,"닭, 칠면조, 오리","닭, 칠면조, 오리, 쌀, 밀, 옥수수","쌀, 육분(닭 칠면조 오리), 밀글루텐, 동물성지방(닭 칠면조 오리), 옥수수, 사탕무박, 혼합광물질류합제, 동물성유도단백질(닭 칠면조), 어유, 대두유, 프락토올리고당, 가수분해효모(만난올리고당의원료), 낙산나트륨, 효모추출물(베타글루칸의원료), 금잔화추출물, L-카르니틴, 비타민A전구체(베타카로틴), 아미노산제합제, 비타민A, 비타민D3, 철, 요오드, 구리, 망간, 아연, 셀레늄, 제올라이트, 소르빈산칼륨, 항산화제",6~7,-1,"임신기, 수유기",-1,-1,0,32.6,23.9,8.7,1.4,1.4,1.1,-1,1.1,-1
강아지,일반식,로얄캐닌,미니 인도어 퍼피(MINI INDOOR PUPPY),19600,1500,건식(반건식),프랑스,N,,391.9,전체,소형,3~10,"닭, 칠면조, 오리, 곡류","닭, 칠면조, 오리, 쌀, 밀, 옥수수","육분(닭 칠면조 오리), 쌀, 동물성지방(가금류 돼지), 옥수수, 밀글루텐, 옥수수분말, 사탕무박, 가수분해동물단백질(가금류 어류), 혼합광물질류합제, 옥수수, 글루텐, 어유, 대두유, 프락토올리고당, 가수분해효모(만난올리고당의 원료), 낙산나트륨, 효모추출물(베타글루칸의원료), 금잔화추출물(루테인의원료), 비타민A, 비타민D3, 비타민E, 철, 요오드, 구리, 망간, 아연, 셀레늄, 제올라이트, 유카추출물, 소르빈산칼륨, 항산화제",6~7,-1,무관,-1,-1,0,30.2,20.2,8.7,1.7,1.4,1.1,-1,0.8,5.5
강아지,일반식,로얄캐닌,미니 어덜트(MINI ADULT),15000,800,건식(반건식),프랑스,N,,396,전체,소형,11~96,"닭, 오리, 칠면조","닭, 오리, 칠면조, 옥수수, 어류, 밀, 효모","육분(닭 오리 칠면조), 옥수수, 옥수수분말, 동물성지방(가금류 돼지), 옥수수, 글루텐, 밀글루텐, 밀, 동물성유도단백질(닭 칠면조 어류), 쌀, 사탕무박, 혼합광물질류합제, 어유, 대두유, 효모, 프락토올리고당, 비타민, A, 비타민, D3, 철, 요오드, 구리, 망간, 아연, 셀레늄, L-카르티닌, 소르빈산칼륨, 항산화제",9~10,-1,무관,-1,-1,0,29.8,17.7,6.3,1.4,1,0.9,-1,0.7,3.4
강아지,일반식,로얄캐닌,미니 인도어 어덜트(MINI INDOOR ADULT),36300,3000,건식(반건식),프랑스,N,실내생활 변 양 및 냄새 감소,378.4,전체,소형,10~max,"곡류, 닭, 오리, 칠면조","닭, 오리, 칠면조, 쌀, 옥수수, 밀","쌀, 육분(닭 오리 칠면조), 옥수수, 동물성지방(가금 돼지), 밀글루텐, 동물성유도단백질(닭 칠면조 어류), 사탕무박, 혼합광물질류합제, 대두유, 분말셀룰로스, 효모, 어유, 글리세린, 지방산에스테르, 프락토올리고당, 비타민, A, 비타민, D3, 철, 요오드, 구리, 망간, 아연, 셀레늄, 제올라이트, 소르빈산칼륨, 항산화제.",9~10,-1,무관,-1,-1,0,23.2,15.5,6.7,2.1,0.8,0.6,-1,0.7,3.2
강아지,일반식,로얄캐닌,미니 인도어 시니어(MINI INDOOR SENIOR),21780,1500,건식(반건식),프랑스,N,실내생활 변 양 및 냄새 감소,382.4,전체,소형,97~max,"닭, 오리, 칠면조","닭, 오리, 칠면조, 쌀, 옥수수, 밀, 어류","옥수수, 쌀, 옥수수분말, 밀글루텐, 육분(닭 오리 칠면조), 옥수수글루텐, 동물성지방(가금 돼지), 동물성유도단백질(닭 칠면조 어류), 사탕무박, 혼합광물질류합제, 어유, 대두유, 토마토(라이코펜의 원료), 가수분해효모(만난올리고당의원료), 보리지유, 금잔화추출물(루테인의 원료), 비타민, A, 비타민, D3, 철, 요오드, 구리, 망간, 아연, 셀레늄, 제올라이트, 소르빈산칼륨, 항산화제.",9~10,-1,무관,-1,-1,0,26.5,15.5,6.7,1.7,0.8,0.6,-1,1,3.2
강아지,일반식,로얄캐닌,미니 스테럴라이즈드(MINI STERILISED),46800,3000,건식(반건식),프랑스,N,중성화 이후 체중관리,345,전체,소형,11~max,"닭, 칠면조, 오리","닭, 칠면조, 오리, 옥수수, 밀, 곡류","옥수수, 육분(닭 칠면조 오리), 소맥분, 동물성유도단백질(닭 칠면조), 옥수수, 글루텐, 분말셀룰로스, 밀글루텐, 동물성지방(돼지), 사탕무박, 효모, 어유, 대두유, 차전자피, 프락토올리고당, 혼합광물질류, 합제, 보리지유, 금잔화추출물, 비타민A, 비타민D3, 철, 요오드, 구리, 망간, 아연, 제올라이트, 소르빈산칼륨, 항산화제",8~8,-1,중성화 이후,-1,-1,0,33.2,14.4,5.9,7.1,0.8,0.8,-1,0.7,3
