기본정보,,,,,,,,,,,,,,,,성분 비율 (수분 0%),,,,,,,
급여 대상,브랜드,사료 번호,사료 이름,특정 종 대상,단백질원,주원료,Kcal/100g,동물크기,사료종목,제조국,급여연령,급여시기, 유기농여부,키블크기(mm),기타,조단백질,조회분,오메가3,칼슘,조지방,조섬유,오메가6,인
강아지,로얄캐닌,0,엑스스몰 퍼피(X-SMALL PUPPY),전체,"닭, 칠면조, 오리","닭, 칠면조, 오리, 쌀, 옥수수, 가금류, 돼지, 밀 칠면조, 어류, 사탕무박, 대두, 어유, 차전자피",383.9,초소형,건식(반건식),프랑스,3~10,없음,N,10,면역기능,34.25,8.73,0.82,1.338,22.1,1.66,4.41,1.16
강아지,로얄캐닌,1,엑스스몰 어덜트(X-SMALL ADULT),전체," 닭, 오리, 칠면조","쌀, 닭, 오리, 칠면조, 옥수수, 가금류, 돼지, 어류, 밀, 치커리, 대두, 어유, 차전자피",380.9,초소형,건식(반건식),프랑스,11~max,없음,N,10,,26.52,6.52,0.78,0.91,19.89,1.88,4.18,0.77
강아지,로얄캐닌,2,엑스스몰 어덜트8+(X-SMALL ADULT 8+),전체,"닭, 오리, 칠면조","쌀, 옥수수, 닭, 오리, 칠면조, 가금류, 돼지, 어류, 밀, 치커리, 대두, 어유, 차전자피",383,초소형,건식(반건식),프랑스,97~144,없음,N,10,노화관리,26.52,5.97,0.78,0.88,19.89,1.88,4.21,0.66
강아지,로얄캐닌,3,엑스스몰 에이징12+(X-SMALL AGEING12+),전체," 닭, 오리, 칠면조","쌀, 옥수수, 닭, 오리, 칠면조, 가금류, 돼지, 밀, 어류, 치커리, 어유, 대두, 차전자피, 토마토, 보리지유",374,초소형,건식(반건식),프랑스,145~max,없음,N,10,노화관리,26.52,5.19,1.08,0.77,17.68,1.99,3.8,0.61
강아지,로얄캐닌,4,미니 스타터 마더&베이비독(MINI STARTER MOTHER & BABYDOG,전체,"닭, 칠면조, 오리","쌀, 닭, 칠면조, 밀, 칠면조, 오리, 옥수수, 사탕무박, 어유, 대두유",399.5,소형,건식(반건식),프랑스,0~2,"임신말기/수유기, 이유기자견",N,10,,32.61,8.7,1.05,1.4,23.91,1.41,5.46,1.1
강아지,로얄캐닌,5,미니 도어 퍼피(MINI INDOOR PUPPY),전체,"닭, 칠면조, 오리","닭, 칠면조, 오리, 쌀, 가금류, 돼지, 옥수수, 밀 사탕무박, 어류, 대두",370.2,소형,건식(반건식),프랑스,3~10,없음,N,10,,30.24,8.73,0.8,1.42,20.16,1.68,3.87,1.12
강아지,로얄캐닌,6,미니 어덜트(MINI ADULT),전체,"닭, 오리, 칠면조","닭, 오리, 칠면조, 옥수수, 가금류, 돼지, 밀, 어류, 쌀, 사탕무박, 대두, 효모",372.3,소형,건식(반건식),프랑스,11~96,없음,N,10,,29.83,6.3,0.69,1.01,17.68,1.44,3.37,0.88
강아지,로얄캐닌,7,미니 도어 어덜트(MINI INDOOR ADULT),전체,"닭, 오리, 칠면조","쌀, 닭, 오리, 칠면조, 옥수수, 가금류, 돼지, 밀, 어류, 사탕무박, 대두, 효모",358.8,소형,건식(반건식),프랑스,10~max,없음,N,10,실내생활 변 양 및 냄새 감소,23.2,6.74,0.71,0.83,15.47,2.1,3.18,0.55
강아지,로얄캐닌,8,미니 도어 시니어(MINI INDOOR SENIOR),전체,"닭, 오리, 칠면조","옥수수, 쌀, 밀, 닭, 오리, 칠면조, 가금류, 돼지, 어류, 사탕무박, 대두, 토마토, 가수분해효모",360.2,소형,건식(반건식),프랑스,97~max,없음,N,10,실내생활 변 양 및 냄새 감소,26.52,6.74,0.98,0.81,15.47,1.66,3.22,0.64
강아지,로얄캐닌,9,미니 스테럴라이즈드(MINI STERILISED),전체,"닭, 칠면조, 오리","옥수수, 닭, 칠면조, 오리, 소맥분, 닭, 칠면조, 밀, 돼지, 사탕무박, 효모, 어유, 대두, 차전자피",339.8,소형,건식(반건식),프랑스,11~max,중성화이후,N,8,중성화 이후 체중관리,33.15,5.86,0.72,0.8,14.36,7.07,3.04,0.77
강아지,로얄캐닌,10,미니 더마 컴포트(MINI DERMACOMFORT),전체,"돼지, 옥수수, 닭, 칠면조","쌀, 밀, 돼지, 귀리, 옥수수, 닭, 칠면조, 대두, 사탕무박, 어유, 아마",378.3,소형,건식(반건식),프랑스,11~max,없음,N,10,피부 개선,28.73,6.08,1.26,0.73,18.78,1.55,3.87,0.73
강아지,로얄캐닌,11,미니 라이트 웨이트 케어(MINI LIGHT WEIGHT CARE),전체,"닭, 칠면조, 오리","닭, 칠면조, 오리, 옥수수, 보리, 쌀, 밀 , 돼지, 사탕무박, 어류, 효모, 대두, 차전자피, 보리지유",330.5,소형,건식(반건식),프랑스,11~max,없음,N,10,체중관리,33.15,5.64,0.57,0.91,12.15,7.51,2.51,0.71
강아지,로얄캐닌,12,미니 다이제스티브  케어(MINI DIGESTIVE CARE),전체,"닭, 오리, 칠면조","닭, 오리, 칠면조, 쌀, 밀, 가금류, 돼지, 보리, 사탕무박, 효모, 어류, 대두",404.4,소형,건식(반건식),프랑스,11~max,없음,N,10,건강한 변,33.15,6.74,1.02,0.9,24.31,1.99,4.85,0.78
강아지,로얄캐닌,13,미디엄 퍼피(MEDIUM PUPPY),전체,"닭, 오리, 칠면조, 돼지","닭, 칠면조, 오리, 가금류, 돼지, 옥수수, 밀 사탕무박, 쌀, 어류, 어유, 대두, 효모, ",388,중형,건식(반건식),프랑스,3~12,없음,N,10,,34.78,8.7,0.8,1.4,21.74,1.85,3.51,1.17
강아지,로얄캐닌,14,미디엄 어덜트(MEDIUM ADULT),전체,"닭, 오리, 칠면조","닭, 오리, 칠면조, 옥수수, 밀, 돼지, 어류, 사탕무박, 어유, 대두, 효모",361.97,중형,건식(반건식),프랑스,13~max,없음,N,10,,27.62,6.74,0.66,1.33,15.47,1.44,2.82,0.88
강아지,로얄캐닌,15,맥시 퍼피(MAXI PUPPY),전체,"닭, 칠면조, 오리","닭, 칠면조, 오리, 쌀,  밀 돼지, 옥수수, 소맥분, 가금류, 어류, 사탕무박, , 대두, 어유",360.7,대형,건식(반건식),프랑스,3~15,없음,N,10,,33.15,8.51,0.61,1.39,17.68,2.87,3.04,1.18
강아지,로얄캐닌,16,맥시 어덜트(MAXI ADULT),전체,"닭, 오리, 칠면조","닭, 오리, 칠면조, 옥수수, 돼지, 밀, 쌀, 가금류, 어류, 사탕무박, 어유, 대두, 효모",375.5,대형,건식(반건식),프랑스,16~max,없음,N,0,,28.73,7.29,0.85,1.33,18.78,1.33,3.56,0.88
강아지,로얄캐닌,17,PRO 맥시 스타터 마더 앤 베이비독(MAXI STARTER MOTHER &BABYDOG),전체,"닭, 칠면조, 오리, 어류","쌀, 닭, 칠면조, 오리, 가금류, 돼지, 밀, 어류, 옥수수, 사탕무박, 대두, 차전자피",435,대형,건식(반건식),프랑스,0~2,"임신말기/수유기, 이유기자견",N,0,"임신, 수유기, 이유기",32.61,7.61,0.8,1.25,23.91,6.85,4.17,1.03
강아지,로얄캐닌,18,PRO 자이언트 퍼피(GIANT PUPPY),전체,가금류,"옥수수, 가금류, 사탕무과육, 계란, 콩, 생선, 갑각류",387.5,초대형,건식(반건식),프랑스,0~8,없음,N,0,,36.96,7.93,0.76,1.09,15.22,1.41,3.26,0.92
강아지,로얄캐닌,19,미니어처 슈나우저 어덜트,슈나우저,"닭, 칠면조, 오리","쌀, 닭, 칠면조, 오리, 옥수수, 밀, 가금류, 닭, 칠면조, 치커리, 어유, 차전자피,  대두, 보리지유",341.8,무관,건식(반건식),프랑스,11~max,없음,N,10,,27.78,8.89,0.62,0.77,13.33,2.22,2.86,0.62
