급여 대상,브랜드,처방식 이름,가격,용량,가격/g or kg,질환,"사료 적용대상, 효능",사료종목,급여대상,급여연령,키블 크기,Main Flavor,원료,금기대상,특이사항,kcal/100g,조단백질,조지방,조회분,조섬유,칼슘,인,오메가3,오메가6,수분,탄수화물,나트륨,칼륨,마그네슘,타우린,카르니틴,비타민C,비타민E
강아지,로얄캐닌,Diabetic(다이아베틱),"28,000",1.5kg,,당뇨질환,"[체중관리] BCS 6이하의 당뇨병 환자, BCS 7이상의 당뇨병 환자에서 혈당 조절이 가능할 때까지",건식,,,,"닭, 칠면조, 오리","육분(닭, 칠면조, 오리), 보리, 밀글루텐, 옥수수글루텐, 분말셀룰로스, 동물성유도단백질(닭, 칠면조), 동물성 지방(닭, 칠면조, 오리), 사탕무박, 타피오카, 어유, 차전자피, 프락토올리고당, 금잔화추출물","성장기, 임신기, 수유기","근육량 유지를 위한 높은 단백질 함량, 저탄수화물",344,,,,,,,,,,,,,,,,,
강아지,로얄캐닌,하이포알러제닉,"37,000",2,,식이알러지,"피부 또는 위장관 증상을 동반한 식이역반응 증상 관리, 개 아토피성 피부염(CAD) + 만성 소양증 증상 관리에 도움, 만성 설사 증상 관리에 도움, 염증성 위장관 질환(IBD), 외분비 췌장 기능 저하(EPI), 세균 과다 증식(SIBO)",건식,,,,"닭, 칠면조, 오리","쌀, 대두박(가수분해 콩단백질), 동물성 지방(닭, 칠면조, 오리), 동물성유도단백질(닭, 칠면조), 사탕무박, 대두유, 어유, 프락토올리고당, 보리지유, 금잔화 추출물","췌장염, 임신기, 수유기",1일 급여량 2회로 나누어 급여,408,,,,,,,,,,,,,,,,,
강아지,로얄캐닌,스킨케어 퍼피 스몰독+DD6:V97,,,,피부질환,"개 아토피성 피부염, 벼룩으로 인한 알러지 피부염, 화농성 피부염, 기생충/항생제 치료와 병행",건식,소형견,,,닭,"쌀, 밀 글루텐, 동물성 지방(돼지), 옥수수, 옥수수 글루텐, 동물성유도단백질(닭), 대두박, 사탕무박, 어유, 대두유, 분말셀룰로스, 아마씨, 프락토올리고당, 보리지유, 가수분해효모",,2개월 급여 처방,402,,,,,,,,,,,,,,,,,
강아지,로얄캐닌,Gastro Intestinal Low Fat(가스트로 인테스티널 로우펫),"27,000",1.5kg,,위장관질환,"[소화기질환, 췌장질환 저칼로리,] [과체중] 설사, 급성 및 만성 췌장염, 고지혈증, 림프관 확장, 삼출성 장질환, 위염, 식도염, 외분비성 췌장 기능 부전증(EPI)",건식,,,,"닭, 오리","쌀, 육분(닭, 오리), 밀, 보리, 동물성유도단백질(닭), 사탕무박, 동물성지방(닭, 오리), 효모, 어유, 글리세린지방산에스테르, 차전자피, 프락토올리고당, 가수분해효모, 금잔화추출물","성장기, 임신기, 수유기","프로바이오틱스로 높은 소화 효율, 낮은 지방함량",346.5,,,,,,,,,,,,,,,,,
강아지,로얄캐닌,Hepatic(헤파틱),"27,000",1.5kg,,간질환,"만성 간염, 간문맥성 션트, 간성뇌증, 구리 축적 질환",건식,,,,"대두박(가수분해 대두단백질), 닭, 칠면조","쌀, 옥수수, 동물성지방(닭,오리), 대두박(가수분해 대두단백질), 사탕무박, 동물성유도단백질(닭, 칠면조), 대두유, 분말셀룰로스, 어유, 프락토올리고당, L-카르니틴, 금잔화추출물","췌장염 혹은 췌장염 병력, 고지혈증, 간성뇌증이 없는 급성 간염(이 경우 Gastrointestinal 혹은 Recovery 제품 권장), 성장기, 임신기, 수유기","소화흡수율이 높은 식물성 단백질, 낮은 구리 함량, 고열량",390.9,,,,,,,,,,,,,,,,,
강아지,스페시픽,Weight Control CRD-2 웨이트리덕션,"33,000",1.6kg,,체중관리,"체중조절, 당뇨, 대장염, 만성설사, 변비, 고지혈증, 담즙분비장애",건식,,,,"밀, 옥수수, 연어, 가금","밀, 어분(연어), 옥수수단백, 섬유소분말, 비트펄프, 가수분해 가금단백, 계란, 계유, 감자단백, 어유, 비타민합제, 차전자피, 메티오닌, L-카르니틴, 항산화제","성장기, 임신기, 수유기","낮은 지방 함량과 높은 섬유소 함량으로 열량 감소, L-카르니틴, 오메가3, 적당량의 단백질, 복합탄수화물과 높은 섬유소 함량",351.58,,,,,,,,,,,,,,,,,
강아지,스페시픽,Joint Support CJD,"43,000",2kg,,관절질환,"관절질환, 노령견관절보호",건식,,,,"밀, 옥수수, 연어, 가금","밀, 쌀, 어분(연어), 섬유소분말, 생선오일, 옥수수단백, 계란, 가수분해 가금단백, 비트펄프, 남극크릴새우, 비타민과 미량원소, 무기질, 가수분해 갑각류 껍질(천연 글루코사민), 차전자피, 보라지오일, 가수분해 닭연골(천연 콘드로이틴), L-카르니틴, 항산화제","성장기, 임신기, 수유기","오메가3 고농도 함유, 적당한 열량으로 체중유지와 건강한 관절 유지",374.51,,,,,,,,,,,,,,,,,
강아지,스페시픽,CED Endocrine Support,"47,000",2kg,,내분비질환,"[당뇨] 부신피질기능항진증, 쿠싱, 갑상선기능저하증, 고지혈증, 내분비 질환의 감염 재발 방지, 변비, 섬유소와 관련된 대장염",건식,,,,"밀, 옥수수, 연어, 가금","밀, 옥수수단백, 오트밀, 섬유소분말, 생선오일, 감자단백, 어분(연어), 비트펄프, 무기질, 가수분해가금단백, 비타민과 미량원소, 계란, 차전자피, 보라지오일, 효모, 타우린, L-카르니틴, 항상화제","성장기, 임신기, 수유기","혈당지수ㅏ 낮은 통밀과 귀리, 생선유에서 추출한 오메가3와 보라지유에서 추출한 오메가6, 중간 정도의 열량 사료",374.27,,,,,,,,,,,,,,,,,
강아지,세니메드,Anti-Osteoarthritis,"22,000",1.3kg,,관절질환,골관절염,건식,,,,"옥수수, 보리, 가금","쌀, 옥수수, 보리, 가금육, 비트펄프, 돼지젤리틴가수분해물, 연어오일, 닭지방, 쌀겨, 효모, 셀룰로스, 아마인오일, 염화칼륨, 콩레시틴, 식물성산물",.,"연어오일 : 항 염증 효과, 젤라틴 가수분해물 : 연골 기질 형성 자극, 퇴행성 변화 억제",.,,,,,,,,,,,,,,,,,
강아지,로얄캐닌,유리너리 S/O,"34,000",2kg,,요로질환,"[하부요로질환, 신장결석] 스트루바이트 요결석, 칼슘 옥살레이트 요결석, 세균성 방광염(2차 스트루바이트 결졍뇨 관리)",건식,,,,"닭, 칠면조, 오리","옥수수, 쌀, 동물성 지방(닭, 칠면조, 오리), 육분(닭, 칠면조, 오리), 옥수수글루텐, 미네랄, 동물성유도단백질(닭, 칠면조), 분말셀룰로스, 대두유, 어유, 프락토올리고당, 글리세린지방산에스테르, 밀, 금잔화추출물","만성 신장 질환(CKD), 심장 질환(나트륨 제한이 필요한 경우), 소변 산성화 약물을 동시 복용, 성장기, 임신기, 수유기","상대적 과포화도를 낮추어 결석 형성 감소, 요 희석, 낮은 마그네슘, S/O INDEX",388,,,,,,,,,,,,,,,,,
